DATE,TIME,SPO2,PULSE,PI
2021-03-17, 11:14:40, 98, 92, 65535
2021-03-17, 11:14:41, 98, 92, 65535
2021-03-17, 11:14:42, 98, 91, 65535
2021-03-17, 11:14:43, 98, 91, 65535
2021-03-17, 11:14:44, 98, 92, 65535
2021-03-17, 11:14:45, 98, 92, 65535
2021-03-17, 11:14:46, 98, 92, 65535
2021-03-17, 11:14:47, 98, 92, 65535
2021-03-17, 11:14:48, 98, 92, 65535
2021-03-17, 11:14:49, 98, 92, 65535
2021-03-17, 11:14:50, 98, 92, 65535
2021-03-17, 11:14:51, 98, 92, 65535
2021-03-17, 11:14:52, 98, 92, 65535
2021-03-17, 11:14:53, 98, 92, 65535
2021-03-17, 11:14:54, 98, 92, 65535
2021-03-17, 11:14:55, 98, 92, 65535
2021-03-17, 11:14:56, 98, 91, 65535
2021-03-17, 11:14:57, 98, 89, 65535
2021-03-17, 11:14:58, 98, 90, 65535
2021-03-17, 11:14:59, 98, 90, 65535
2021-03-17, 11:15:00, 98, 90, 65535
2021-03-17, 11:15:01, 98, 90, 65535
2021-03-17, 11:15:02, 98, 90, 65535
2021-03-17, 11:15:03, 98, 90, 65535
2021-03-17, 11:15:04, 98, 90, 65535
2021-03-17, 11:15:05, 98, 89, 65535
2021-03-17, 11:15:06, 98, 88, 65535
2021-03-17, 11:15:07, 98, 88, 65535
2021-03-17, 11:15:08, 98, 88, 65535
2021-03-17, 11:15:09, 98, 88, 65535
2021-03-17, 11:15:10, 98, 88, 65535
2021-03-17, 11:15:11, 98, 88, 65535
2021-03-17, 11:15:12, 98, 88, 65535
2021-03-17, 11:15:13, 98, 87, 65535
2021-03-17, 11:15:14, 98, 86, 65535
2021-03-17, 11:15:15, 98, 85, 65535
2021-03-17, 11:15:16, 98, 84, 65535
2021-03-17, 11:15:17, 98, 83, 65535
2021-03-17, 11:15:18, 98, 83, 65535
2021-03-17, 11:15:19, 98, 83, 65535
2021-03-17, 11:15:20, 98, 83, 65535
2021-03-17, 11:15:21, 98, 83, 65535
2021-03-17, 11:15:22, 98, 82, 65535
2021-03-17, 11:15:23, 98, 81, 65535
2021-03-17, 11:15:24, 98, 82, 65535
2021-03-17, 11:15:25, 98, 82, 65535
2021-03-17, 11:15:26, 98, 83, 65535
2021-03-17, 11:15:27, 98, 85, 65535
2021-03-17, 11:15:28, 98, 86, 65535
2021-03-17, 11:15:29, 98, 86, 65535
2021-03-17, 11:15:30, 99, 86, 65535
2021-03-17, 11:15:31, 99, 86, 65535
2021-03-17, 11:15:32, 99, 86, 65535
2021-03-17, 11:15:33, 99, 86, 65535
2021-03-17, 11:15:34, 99, 86, 65535
2021-03-17, 11:15:35, 99, 87, 65535
2021-03-17, 11:15:36, 99, 87, 65535
2021-03-17, 11:15:37, 99, 86, 65535
2021-03-17, 11:15:38, 99, 85, 65535
2021-03-17, 11:15:39, 99, 85, 65535
2021-03-17, 11:15:40, 99, 83, 65535
2021-03-17, 11:15:41, 99, 83, 65535
2021-03-17, 11:15:42, 99, 81, 65535
2021-03-17, 11:15:43, 99, 80, 65535
2021-03-17, 11:15:44, 99, 78, 65535
2021-03-17, 11:15:45, 98, 78, 65535
2021-03-17, 11:15:46, 98, 77, 65535
2021-03-17, 11:15:47, 98, 77, 65535
2021-03-17, 11:15:48, 98, 77, 65535
2021-03-17, 11:15:49, 98, 77, 65535
2021-03-17, 11:15:50, 98, 77, 65535
2021-03-17, 11:15:51, 98, 78, 65535
2021-03-17, 11:15:52, 98, 78, 65535
2021-03-17, 11:15:53, 98, 78, 65535
2021-03-17, 11:15:54, 98, 78, 65535
2021-03-17, 11:15:55, 98, 77, 65535
2021-03-17, 11:15:56, 98, 77, 65535
2021-03-17, 11:15:57, 98, 77, 65535
2021-03-17, 11:15:58, 97, 78, 65535
2021-03-17, 11:15:59, 97, 78, 65535
2021-03-17, 11:16:00, 97, 78, 65535
2021-03-17, 11:16:01, 96, 79, 65535
2021-03-17, 11:16:02, 96, 79, 65535
2021-03-17, 11:16:03, 96, 80, 65535
2021-03-17, 11:16:04, 96, 80, 65535
2021-03-17, 11:16:05, 96, 80, 65535
2021-03-17, 11:16:06, 95, 81, 65535
2021-03-17, 11:16:07, 95, 81, 65535
2021-03-17, 11:16:08, 95, 81, 65535
2021-03-17, 11:16:09, 95, 81, 65535
2021-03-17, 11:16:10, 94, 81, 65535
2021-03-17, 11:16:11, 94, 82, 65535
2021-03-17, 11:16:12, 94, 82, 65535
2021-03-17, 11:16:13, 94, 82, 65535
2021-03-17, 11:16:14, 93, 83, 65535
2021-03-17, 11:16:15, 92, 83, 65535
2021-03-17, 11:16:16, 92, 83, 65535
2021-03-17, 11:16:17, 92, 83, 65535
2021-03-17, 11:16:18, 91, 83, 65535
2021-03-17, 11:16:19, 91, 83, 65535
2021-03-17, 11:16:20, 90, 83, 65535
2021-03-17, 11:16:21, 90, 82, 65535
2021-03-17, 11:16:22, 90, 82, 65535
2021-03-17, 11:16:23, 90, 82, 65535
2021-03-17, 11:16:24, 90, 82, 65535
2021-03-17, 11:16:25, 89, 82, 65535
2021-03-17, 11:16:26, 89, 82, 65535
2021-03-17, 11:16:27, 90, 82, 65535
2021-03-17, 11:16:28, 90, 82, 65535
2021-03-17, 11:16:29, 90, 82, 65535
2021-03-17, 11:16:30, 90, 82, 65535
2021-03-17, 11:16:31, 91, 82, 65535
2021-03-17, 11:16:32, 94, 82, 65535
2021-03-17, 11:16:33, 95, 84, 65535
2021-03-17, 11:16:34, 97, 85, 65535
2021-03-17, 11:16:35, 98, 87, 65535
2021-03-17, 11:16:36, 99, 87, 65535
2021-03-17, 11:16:37, 99, 87, 65535
2021-03-17, 11:16:38, 99, 87, 65535
2021-03-17, 11:16:39, 98, 87, 65535
2021-03-17, 11:16:40, 98, 87, 65535
2021-03-17, 11:16:41, 98, 87, 65535
2021-03-17, 11:16:42, 98, 85, 65535
2021-03-17, 11:16:43, 98, 84, 65535
2021-03-17, 11:16:44, 98, 84, 65535
2021-03-17, 11:16:45, 98, 84, 65535
2021-03-17, 11:16:46, 98, 84, 65535
2021-03-17, 11:16:47, 98, 82, 65535
2021-03-17, 11:16:48, 98, 81, 65535
2021-03-17, 11:16:49, 98, 81, 65535
2021-03-17, 11:16:50, 98, 81, 65535
2021-03-17, 11:16:51, 98, 81, 65535
2021-03-17, 11:16:52, 98, 82, 65535
2021-03-17, 11:16:53, 98, 82, 65535
2021-03-17, 11:16:54, 98, 82, 65535
2021-03-17, 11:16:55, 98, 82, 65535
2021-03-17, 11:16:56, 98, 82, 65535
2021-03-17, 11:16:57, 98, 82, 65535
2021-03-17, 11:16:58, 98, 81, 65535
2021-03-17, 11:16:59, 98, 81, 65535
2021-03-17, 11:17:00, 98, 82, 65535
2021-03-17, 11:17:01, 98, 82, 65535
2021-03-17, 11:17:02, 98, 82, 65535
2021-03-17, 11:17:03, 98, 81, 65535
2021-03-17, 11:17:04, 98, 81, 65535
2021-03-17, 11:17:05, 98, 81, 65535
2021-03-17, 11:17:06, 98, 81, 65535
2021-03-17, 11:17:07, 98, 81, 65535
2021-03-17, 11:17:08, 98, 82, 65535
2021-03-17, 11:17:09, 98, 81, 65535
2021-03-17, 11:17:10, 98, 81, 65535
2021-03-17, 11:17:11, 98, 81, 65535
2021-03-17, 11:17:12, 98, 81, 65535
2021-03-17, 11:17:13, 98, 81, 65535
2021-03-17, 11:17:14, 98, 81, 65535
2021-03-17, 11:17:15, 98, 81, 65535
2021-03-17, 11:17:16, 98, 82, 65535
2021-03-17, 11:17:17, 98, 82, 65535
2021-03-17, 11:17:18, 98, 83, 65535
2021-03-17, 11:17:19, 98, 82, 65535
2021-03-17, 11:17:20, 98, 82, 65535
2021-03-17, 11:17:21, 98, 82, 65535
2021-03-17, 11:17:22, 98, 82, 65535
2021-03-17, 11:17:23, 98, 82, 65535
2021-03-17, 11:17:24, 98, 83, 65535
2021-03-17, 11:17:25, 98, 83, 65535
2021-03-17, 11:17:26, 98, 82, 65535
2021-03-17, 11:17:27, 98, 82, 65535
2021-03-17, 11:17:28, 98, 81, 65535
2021-03-17, 11:17:29, 98, 82, 65535
2021-03-17, 11:17:30, 98, 82, 65535
2021-03-17, 11:17:31, 98, 83, 65535
2021-03-17, 11:17:32, 98, 82, 65535
2021-03-17, 11:17:33, 98, 82, 65535
2021-03-17, 11:17:34, 98, 82, 65535
2021-03-17, 11:17:35, 98, 82, 65535
2021-03-17, 11:17:36, 98, 82, 65535
2021-03-17, 11:17:37, 98, 82, 65535
2021-03-17, 11:17:38, 98, 81, 65535
2021-03-17, 11:17:39, 98, 81, 65535
2021-03-17, 11:17:40, 98, 83, 65535
2021-03-17, 11:17:41, 98, 83, 65535
2021-03-17, 11:17:42, 98, 83, 65535
2021-03-17, 11:17:43, 98, 82, 65535
2021-03-17, 11:17:44, 98, 83, 65535
2021-03-17, 11:17:45, 98, 83, 65535
2021-03-17, 11:17:46, 98, 82, 65535
2021-03-17, 11:17:47, 98, 82, 65535
2021-03-17, 11:17:48, 98, 82, 65535
2021-03-17, 11:17:49, 98, 82, 65535
2021-03-17, 11:17:50, 98, 82, 65535
2021-03-17, 11:17:51, 98, 82, 65535
2021-03-17, 11:17:52, 98, 81, 65535
2021-03-17, 11:17:53, 98, 81, 65535
2021-03-17, 11:17:54, 98, 81, 65535
2021-03-17, 11:17:55, 98, 81, 65535
2021-03-17, 11:17:56, 98, 81, 65535
2021-03-17, 11:17:57, 98, 81, 65535
2021-03-17, 11:17:58, 98, 80, 65535
2021-03-17, 11:17:59, 98, 80, 65535
2021-03-17, 11:18:00, 98, 80, 65535
2021-03-17, 11:18:01, 98, 80, 65535
2021-03-17, 11:18:02, 98, 80, 65535
2021-03-17, 11:18:03, 98, 80, 65535
2021-03-17, 11:18:04, 98, 80, 65535
2021-03-17, 11:18:05, 98, 80, 65535
2021-03-17, 11:18:06, 98, 79, 65535
2021-03-17, 11:18:07, 98, 79, 65535
2021-03-17, 11:18:08, 98, 78, 65535
2021-03-17, 11:18:09, 98, 78, 65535
2021-03-17, 11:18:10, 98, 77, 65535
2021-03-17, 11:18:11, 98, 77, 65535
2021-03-17, 11:18:12, 98, 77, 65535
2021-03-17, 11:18:13, 98, 77, 65535
2021-03-17, 11:18:14, 97, 77, 65535
2021-03-17, 11:18:15, 97, 77, 65535
2021-03-17, 11:18:16, 97, 77, 65535
2021-03-17, 11:18:17, 97, 77, 65535
2021-03-17, 11:18:18, 97, 77, 65535
2021-03-17, 11:18:19, 96, 77, 65535
